Date,District,Market Type,Commercial Type,Quality Grade,Price,, 
1/5/2016,Kurunegala,Export,Peedunu,Premium,4500,,
1/5/2016,Kurunegala,Export,Peedunu,Standard,2000,,
1/5/2016,Kurunegala,Export,Kanda,Premium,5000,,
1/5/2016,Kurunegala,Export,Kanda,Standard,2000,,
1/5/2016,Kurunegala,Local,Peedunu,Premium,3000,,
1/5/2016,Kurunegala,Local,Peedunu,Standard,1500,,
1/5/2016,Kurunegala,Local,Keti,Premium,1200,,
1/5/2016,Kurunegala,Local,Keti,Standard,600,,
1/5/2016,Kurunegala,Local,Korikan,Premium,600,,
1/5/2016,Kurunegala,Local,Korikan,Standard,300,,
1/5/2016,Gampaha,Export,Peedunu,Premium,4500,,
1/5/2016,Gampaha,Export,Peedunu,Standard,2000,,
1/5/2016,Gampaha,Export,Kanda,Premium,3000,,
1/5/2016,Gampaha,Export,Kanda,Standard,1500,,
1/5/2016,Gampaha,Local,Peedunu,Premium,3000,,
1/5/2016,Gampaha,Local,Peedunu,Standard,2500,,
1/5/2016,Gampaha,Local,Keti,Premium,1800,,
1/5/2016,Gampaha,Local,Keti,Standard,1500,,
1/12/2016,Kurunegala,Export,Peedunu,Premium,5000,,
1/12/2016,Kurunegala,Export,Peedunu,Standard,2500,,
1/12/2016,Kurunegala,Export,Kanda,Premium,6000,,
1/12/2016,Kurunegala,Export,Kanda,Standard,2500,,
1/12/2016,Kurunegala,Local,Peedunu,Premium,3000,,
1/12/2016,Kurunegala,Local,Peedunu,Standard,1500,,
1/12/2016,Kurunegala,Local,Keti,Premium,1200,,
1/12/2016,Kurunegala,Local,Keti,Standard,800,,
1/12/2016,Kurunegala,Local,Korikan,Premium,600,,
1/12/2016,Kurunegala,Local,Korikan,Standard,500,,
1/12/2016,Gampaha,Export,Peedunu,Premium,5500,,
1/12/2016,Gampaha,Export,Peedunu,Standard,3000,,
1/12/2016,Gampaha,Export,Kanda,Premium,4500,,
1/12/2016,Gampaha,Export,Kanda,Standard,3000,,
1/12/2016,Gampaha,Local,Peedunu,Premium,2750,,
1/12/2016,Gampaha,Local,Peedunu,Standard,2500,,
1/12/2016,Gampaha,Local,Keti,Premium,2000,,
1/12/2016,Gampaha,Local,Keti,Standard,1800,,
1/19/2016,Kurunegala,Export,Peedunu,Premium,6000,,
1/19/2016,Kurunegala,Export,Peedunu,Standard,3000,,
1/19/2016,Kurunegala,Export,Kanda,Premium,6500,,
1/19/2016,Kurunegala,Export,Kanda,Standard,3000,,
1/19/2016,Kurunegala,Local,Peedunu,Premium,4000,,
1/19/2016,Kurunegala,Local,Peedunu,Standard,1500,,
1/19/2016,Kurunegala,Local,Keti,Premium,1500,,
1/19/2016,Kurunegala,Local,Keti,Standard,800,,
1/19/2016,Kurunegala,Local,Korikan,Premium,800,,
1/19/2016,Kurunegala,Local,Korikan,Standard,500,,
1/19/2016,Gampaha,Export,Peedunu,Premium,5000,,
1/19/2016,Gampaha,Export,Peedunu,Standard,3000,,
1/19/2016,Gampaha,Export,Kanda,Premium,5000,,
1/19/2016,Gampaha,Export,Kanda,Standard,3000,,
1/19/2016,Gampaha,Local,Peedunu,Premium,2500,,
1/19/2016,Gampaha,Local,Peedunu,Standard,2200,,
1/19/2016,Gampaha,Local,Keti,Premium,1800,,
1/19/2016,Gampaha,Local,Keti,Standard,1600,,
1/26/2016,Kurunegala,Export,Peedunu,Premium,6000,,
1/26/2016,Kurunegala,Export,Peedunu,Standard,3000,,
1/26/2016,Kurunegala,Export,Kanda,Premium,7000,,
1/26/2016,Kurunegala,Export,Kanda,Standard,3000,,
1/26/2016,Kurunegala,Local,Peedunu,Premium,4000,,
1/26/2016,Kurunegala,Local,Peedunu,Standard,1800,,
1/26/2016,Kurunegala,Local,Keti,Premium,1500,,
1/26/2016,Kurunegala,Local,Keti,Standard,800,,
1/26/2016,Kurunegala,Local,Korikan,Premium,800,,
1/26/2016,Kurunegala,Local,Korikan,Standard,500,,
1/26/2016,Gampaha,Export,Peedunu,Premium,5000,,
1/26/2016,Gampaha,Export,Peedunu,Standard,3500,,
1/26/2016,Gampaha,Export,Kanda,Premium,5000,,
1/26/2016,Gampaha,Export,Kanda,Standard,3500,,
1/26/2016,Gampaha,Local,Peedunu,Premium,3500,,
1/26/2016,Gampaha,Local,Peedunu,Standard,3000,,
1/26/2016,Gampaha,Local,Keti,Premium,2500,,
1/26/2016,Gampaha,Local,Keti,Standard,2000,,
2/2/2016,Kurunegala,Export,Peedunu,Premium,7000,,
2/2/2016,Kurunegala,Export,Peedunu,Standard,4000,,
2/2/2016,Kurunegala,Export,Kanda,Premium,8000,,
2/2/2016,Kurunegala,Export,Kanda,Standard,4000,,
2/2/2016,Kurunegala,Local,Peedunu,Premium,5000,,
2/2/2016,Kurunegala,Local,Peedunu,Standard,1800,,
2/2/2016,Kurunegala,Local,Keti,Premium,2000,,
2/2/2016,Kurunegala,Local,Keti,Standard,900,,
2/2/2016,Kurunegala,Local,Korikan,Premium,1000,,
2/2/2016,Kurunegala,Local,Korikan,Standard,500,,
2/2/2016,Gampaha,Export,Peedunu,Premium,4500,,
2/2/2016,Gampaha,Export,Peedunu,Standard,3000,,
2/2/2016,Gampaha,Export,Kanda,Premium,4000,,
2/2/2016,Gampaha,Export,Kanda,Standard,3000,,
2/2/2016,Gampaha,Local,Peedunu,Premium,3000,,
2/2/2016,Gampaha,Local,Peedunu,Standard,2800,,
2/2/2016,Gampaha,Local,Keti,Premium,2500,,
2/2/2016,Gampaha,Local,Keti,Standard,2200,,
2/2/2016,Gampaha,Local,Korikan,Premium,400,,
2/2/2016,Gampaha,Local,Korikan,Standard,370,,
2/9/2016,Kurunegala,Export,Peedunu,Premium,8000,,
2/9/2016,Kurunegala,Export,Peedunu,Standard,4000,,
2/9/2016,Kurunegala,Export,Kanda,Premium,8000,,
2/9/2016,Kurunegala,Export,Kanda,Standard,4000,,
2/9/2016,Kurunegala,Local,Peedunu,Premium,6000,,
2/9/2016,Kurunegala,Local,Peedunu,Standard,2000,,
2/9/2016,Kurunegala,Local,Keti,Premium,3000,,
2/9/2016,Kurunegala,Local,Keti,Standard,1000,,
2/9/2016,Kurunegala,Local,Korikan,Premium,1500,,
2/9/2016,Kurunegala,Local,Korikan,Standard,500,,
2/9/2016,Gampaha,Export,Peedunu,Premium,5000,,
2/9/2016,Gampaha,Export,Peedunu,Standard,3000,,
2/9/2016,Gampaha,Export,Kanda,Premium,5000,,
2/9/2016,Gampaha,Export,Kanda,Standard,3000,,
2/9/2016,Gampaha,Local,Peedunu,Premium,3000,,
2/9/2016,Gampaha,Local,Peedunu,Standard,2700,,
2/9/2016,Gampaha,Local,Keti,Premium,2500,,
2/9/2016,Gampaha,Local,Keti,Standard,2200,,
2/9/2016,Gampaha,Local,Korikan,Premium,600,,
2/9/2016,Gampaha,Local,Korikan,Standard,600,,
2/16/2016,Kurunegala,Export,Peedunu,Premium,8000,,
2/16/2016,Kurunegala,Export,Peedunu,Standard,4000,,
2/16/2016,Kurunegala,Export,Kanda,Premium,8000,,
2/16/2016,Kurunegala,Export,Kanda,Standard,4000,,
2/16/2016,Kurunegala,Local,Peedunu,Premium,6000,,
2/16/2016,Kurunegala,Local,Peedunu,Standard,2000,,
2/16/2016,Kurunegala,Local,Keti,Premium,3000,,
2/16/2016,Kurunegala,Local,Keti,Standard,1000,,
2/16/2016,Kurunegala,Local,Korikan,Premium,1500,,
2/16/2016,Kurunegala,Local,Korikan,Standard,500,,
2/16/2016,Gampaha,Export,Peedunu,Premium,5000,,
2/16/2016,Gampaha,Export,Peedunu,Standard,3500,,
2/16/2016,Gampaha,Export,Kanda,Premium,4500,,
2/16/2016,Gampaha,Export,Kanda,Standard,3500,,
2/16/2016,Gampaha,Local,Peedunu,Premium,3000,,
2/16/2016,Gampaha,Local,Peedunu,Standard,2800,,
2/16/2016,Gampaha,Local,Keti,Premium,2500,,
2/16/2016,Gampaha,Local,Keti,Standard,2300,,
2/16/2016,Gampaha,Local,Korikan,Premium,600,,
2/16/2016,Gampaha,Local,Korikan,Standard,600,,
2/23/2016,Kurunegala,Export,Peedunu,Premium,7000,,
2/23/2016,Kurunegala,Export,Peedunu,Standard,4000,,
2/23/2016,Kurunegala,Export,Kanda,Premium,7500,,
2/23/2016,Kurunegala,Export,Kanda,Standard,4000,,
2/23/2016,Kurunegala,Local,Peedunu,Premium,5000,,
2/23/2016,Kurunegala,Local,Peedunu,Standard,2000,,
2/23/2016,Kurunegala,Local,Keti,Premium,3000,,
2/23/2016,Kurunegala,Local,Keti,Standard,1000,,
2/23/2016,Kurunegala,Local,Korikan,Premium,1500,,
2/23/2016,Kurunegala,Local,Korikan,Standard,500,,
2/23/2016,Gampaha,Export,Peedunu,Premium,5500,,
2/23/2016,Gampaha,Export,Peedunu,Standard,3500,,
2/23/2016,Gampaha,Export,Kanda,Premium,5000,,
